Marca temporal,edad,genero,escolaridad,trabajo,compartesdom,mayor60,salud,vacuna,contagio,porbcontagio,fallecido,medidas,preosoc,estres,eventos,deporte,estadios,directreport1,sensitive1,veiled1
2021/11/30 3:35:30 p. m. GMT-6,27,Mujer,Licenciatura,Si,3,Si,Muy buena,Si,No,3,No,4,4,2,No,No,No estoy de acuerdo,2,Si,3
2021/11/30 3:42:00 p. m. GMT-6,25,Mujer,Licenciatura,Si,3,No,Muy buena,Si,No,3,Si,4,3,3,Si,Si,No estoy de acuerdo,3,Si,3
2021/11/30 3:57:51 p. m. GMT-6,40,Mujer,Licenciatura,No,1,No,Buena,Si,No,3,No,5,1,2,Si,Si,Indiferente,2,Si,4
2021/11/30 4:06:54 p. m. GMT-6,30,Mujer,Preparatoria,Si,3,No,Muy buena,Si,Si,3,No,2,4,4,Si,Si,Indiferente,2,Si,3
2021/11/30 4:35:10 p. m. GMT-6,40,Mujer,Posgrado,No,4 o mas,Si,Muy buena,Si,No,4,No,5,4,5,No,Si,No estoy de acuerdo,3,Si,3
2021/11/30 4:37:36 p. m. GMT-6,36,Mujer,Licenciatura,No,4 o mas,No,Ni mala ni buena,Si,No,3,No,3,3,3,Si,Si,Indiferente,3,Si,3
2021/11/30 4:39:57 p. m. GMT-6,26,Mujer,Licenciatura,Si,4 o mas,No,Buena,Si,Si,3,Si,4,5,5,Si,No,No estoy de acuerdo,2,Si,2
2021/11/30 4:45:24 p. m. GMT-6,58,Mujer,Licenciatura,Si,1,No,Buena,Si,No,1,No,5,2,4,No,No,Indiferente,2,Si,2
2021/11/30 4:46:27 p. m. GMT-6,33,Hombre,Posgrado,Si,2,No,Buena,Si,No,2,Si,4,2,4,Si,Si,Estoy de acuerdo,3,Si,4
2021/11/30 4:51:24 p. m. GMT-6,21,Mujer,Preparatoria,Si,3,No,Buena,Si,No,3,No,5,5,5,Si,No,No estoy de acuerdo,2,Si,2
2021/11/30 4:55:46 p. m. GMT-6,45,Mujer,Posgrado,No,2,No,Muy buena,Si,No,3,Si,5,3,2,No,Si,No estoy de acuerdo,3,No,2
2021/11/30 5:20:32 p. m. GMT-6,55,Hombre,Posgrado,No,4 o mas,Si,Mala,Si,No,2,No,4,3,1,Si,Si,Indiferente,3,Si,3
2021/11/30 5:36:07 p. m. GMT-6,25,Mujer,Licenciatura,Si,3,No,Buena,Si,No,3,No,4,1,2,Si,No,Indiferente,4,No,5
2021/11/30 6:46:28 p. m. GMT-6,25,Hombre,Licenciatura,Si,4 o mas,No,Muy buena,Si,No,1,No,2,1,1,Si,Si,Estoy de acuerdo,3,No,4
2021/11/30 6:51:36 p. m. GMT-6,33,Mujer,Licenciatura,No,3,No,Buena,Si,No,3,No,5,2,3,Si,No,No estoy de acuerdo,3,Si,3
2021/11/30 7:06:06 p. m. GMT-6,23,Hombre,Licenciatura,Si,2,No,Muy buena,Si,Si,2,Si,5,3,4,Si,No,Indiferente,2,Si,3
2021/11/30 8:38:40 p. m. GMT-6,35,Mujer,Licenciatura,Si,2,No,Buena,Si,No,3,No,4,2,4,Si,Si,No estoy de acuerdo,2,Si,3
2021/11/30 8:40:27 p. m. GMT-6,38,Hombre,Licenciatura,No,3,Si,Buena,Si,No,2,Si,5,4,5,Si,Si,Estoy de acuerdo,2,Si,2
2021/11/30 8:43:09 p. m. GMT-6,48,Hombre,Posgrado,Si,3,No,Buena,Si,No,3,No,4,4,5,Si,Si,Indiferente,3,Si,3
2021/11/30 9:41:16 p. m. GMT-6,63,Hombre,Licenciatura,Si,3,Si,Buena,Si,No,2,No,5,1,1,No,Si,No estoy de acuerdo,2,Si,2
2021/11/30 9:41:54 p. m. GMT-6,36,Hombre,Licenciatura,Si,3,No,Muy buena,Si,No,1,Si,5,5,5,No,Si,No estoy de acuerdo,2,Si,1
2021/11/30 9:47:53 p. m. GMT-6,21,Mujer,Preparatoria,No,3,No,Buena,Si,No,2,Si,4,3,3,No,No,No estoy de acuerdo,0,Si,4
2021/11/30 10:04:15 p. m. GMT-6,39,Mujer,Posgrado,Si,2,No,Muy buena,No,No,2,Si,2,3,2,Si,Si,No estoy de acuerdo,2,Si,1
2021/11/30 11:07:33 p. m. GMT-6,51,Mujer,Posgrado,No,3,No,Buena,Si,No,2,No,4,2,2,Si,No,No estoy de acuerdo,3,Si,4
2021/11/30 11:40:37 p. m. GMT-6,26,Mujer,Licenciatura,Si,2,No,Muy buena,Si,Si,2,Si,4,1,3,Si,No,Indiferente,3,Si,5
2021/12/01 12:10:21 a. m. GMT-6,29,Mujer,Licenciatura,Si,1,No,Buena,Si,Si,2,No,3,2,1,Si,Si,Indiferente,3,Si,4
2021/12/01 12:38:40 a. m. GMT-6,50,Hombre,Posgrado,No,1,No,Buena,Si,No,3,Si,5,4,4,Si,Si,No estoy de acuerdo,3,Si,4
2021/12/01 12:50:49 a. m. GMT-6,43,Mujer,Licenciatura,No,1,No,Buena,Si,No,1,No,5,3,1,No,No,Indiferente,3,No,3
2021/12/01 6:27:06 a. m. GMT-6,24,Hombre,Licenciatura,Si,4 o mas,Si,Muy buena,Si,No,1,Si,5,5,5,No,Si,Indiferente,4,Si,4
2021/12/01 7:38:22 a. m. GMT-6,40,Hombre,Licenciatura,No,2,Si,Ni mala ni buena,Si,No,2,No,5,4,5,Si,Si,No estoy de acuerdo,1,Si,4
2021/12/01 9:36:46 a. m. GMT-6,36,Mujer,Licenciatura,Si,4 o mas,No,Buena,Si,Si,2,No,5,2,3,No,No,No estoy de acuerdo,2,Si,2
2021/12/01 10:30:39 a. m. GMT-6,53,Hombre,Licenciatura,No,2,No,Mala,Si,No,3,Si,5,5,5,No,Si,No estoy de acuerdo,2,Si,3
2021/12/01 5:50:53 p. m. GMT-6,50,Hombre,Licenciatura,Si,4 o mas,No,Buena,Si,Si,3,Si,5,4,5,No,Si,No estoy de acuerdo,2,Si,2
2021/12/02 1:04:35 p. m. GMT-6,43,Mujer,Licenciatura,No,3,No,Ni mala ni buena,Si,No,3,No,5,1,1,Si,No,No estoy de acuerdo,3,Si,2
2021/12/02 3:06:23 p. m. GMT-6,45,Mujer,Preparatoria,No,2,No,Buena,Si,No,2,Si,5,2,5,Si,Si,No estoy de acuerdo,3,Si,4
2021/12/02 3:26:35 p. m. GMT-6,48,Mujer,Licenciatura,No,3,No,Muy buena,Si,Si,3,Si,4,3,1,No,Si,No estoy de acuerdo,1,Si,1
2021/12/02 3:48:05 p. m. GMT-6,39,Mujer,Posgrado,No,3,Si,Muy buena,Si,No,3,No,4,1,1,Si,Si,Estoy de acuerdo,2,No,5
2021/12/02 4:10:44 p. m. GMT-6,46,Mujer,Posgrado,No,4 o mas,No,Buena,Si,Si,3,Si,4,1,2,No,No,No estoy de acuerdo,1,Si,4
2021/12/02 5:13:38 p. m. GMT-6,44,Mujer,Licenciatura,No,3,No,Muy buena,Si,No,3,No,5,1,5,Si,No,No estoy de acuerdo,4,Si,3
2021/12/02 5:55:59 p. m. GMT-6,50,Mujer,Posgrado,No,2,No,Muy buena,No me he vacunado,No,2,No,4,2,2,No,Si,Indiferente,3,Si,4
2021/12/02 9:35:21 p. m. GMT-6,42,Mujer,Licenciatura,Si,4 o mas,Si,Buena,No,No,2,No,4,4,4,Si,No,Indiferente,1,No,4
2021/12/04 2:08:42 p. m. GMT-6,29,Mujer,Posgrado,Si,1,No,Buena,Si,No,2,Si,2,2,4,No,Si,Indiferente,2,Si,3
2021/12/04 3:03:22 p. m. GMT-6,33,Mujer,Licenciatura,No,3,Si,Buena,Si,No,2,No,5,1,5,No,No,No estoy de acuerdo,2,Si,2
2021/12/04 5:09:06 p. m. GMT-6,60,Mujer,Posgrado,Si,1,Si,Buena,No,No,3,Si,3,4,2,Si,Si,No estoy de acuerdo,1,Si,3
2021/12/04 5:25:02 p. m. GMT-6,45,Mujer,Licenciatura,No,2,No,Muy buena,Si,Si,1,No,5,3,4,No,Si,Estoy de acuerdo,4,Si,4
2021/12/04 6:29:49 p. m. GMT-6,37,Mujer,Posgrado,Si,3,No,Buena,Si,Si,2,Si,4,2,1,Si,No,Indiferente,4,No,3
2021/12/04 7:47:02 p. m. GMT-6,41,Mujer,Licenciatura,Si,3,No,Buena,Si,No,1,Si,5,5,5,Si,No,No estoy de acuerdo,2,Si,2
2021/12/04 7:53:31 p. m. GMT-6,30,Hombre,Licenciatura,Si,3,No,Buena,No,No,3,No,2,3,3,Si,Si,No estoy de acuerdo,4,Si,4
2021/12/04 8:45:10 p. m. GMT-6,39,Mujer,Licenciatura,Si,4 o mas,Si,Buena,Si,Si,4,Si,4,5,5,Si,No,Estoy de acuerdo,4,Si,5
2021/12/04 9:55:08 p. m. GMT-6,34,Mujer,Licenciatura,No,0,No,Buena,Si,No,1,No,3,3,3,Si,No,Indiferente,3,Si,5
2021/12/04 10:24:18 p. m. GMT-6,26,Mujer,Licenciatura,Si,4 o mas,No,Buena,Si,No,3,Si,3,3,3,Si,No,Estoy de acuerdo,2,Si,3
2021/12/04 11:06:36 p. m. GMT-6,56,Mujer,Preparatoria,No,1,Si,Muy buena,Si,No,1,No,5,5,3,No,Si,Indiferente,2,No,2
2021/12/05 12:34:57 a. m. GMT-6,50,Mujer,Preparatoria,No,4 o mas,No,Buena,Si,No,4,Si,5,4,2,Si,No,Indiferente,4,Si,3
2021/12/05 2:20:20 a. m. GMT-6,29,Mujer,Licenciatura,Si,1,No,Muy buena,Si,Si,2,Si,4,1,1,Si,No,No estoy de acuerdo,2,Si,4
2021/12/05 7:44:53 a. m. GMT-6,32,Mujer,Licenciatura,No,3,Si,Buena,Si,No,3,Si,5,4,4,Si,No,No estoy de acuerdo,1,Si,2
2021/12/05 12:06:52 p. m. GMT-6,36,Mujer,Licenciatura,Si,1,No,Buena,Si,Si,2,Si,4,3,5,Si,No,Indiferente,2,No,3
2021/12/06 5:18:52 p. m. GMT-6,48,Hombre,Posgrado,Si,2,Si,Buena,No,Si,3,Si,4,1,1,No,Si,No estoy de acuerdo,2,Si,2
